Le futur , devenir  Ku + Narimashita (présent) ou Narimasu (futur) ;"On enlève le い et on rajoute く + なる

adjectifs en い﻿ à la forme 〜く﻿ + なります﻿/なりました﻿ (changement d’état : « devenir »)";"Avec adjectifs en い﻿

Il fait froid / Il va faire froid

寒くなりました。﻿
さむくなりました。﻿
Il fait froid. (Le temps est devenu froid.)

寒くなります。﻿
さむくなります。﻿
Il va faire froid. (Le temps va devenir froid.)

Il fait chaud / Il va faire chaud

暑くなりました。﻿
あつくなりました。﻿
Il fait chaud. (La température est devenue chaude.)

暑くなります。﻿
あつくなります。﻿
Il va faire chaud. (La température va monter.)

C’est devenu facile / Ça va devenir facile

日本語がやさしくなりました。﻿
にほんごがやさしくなりました。﻿
Le japonais est devenu facile.

日本語がやさしくなります。﻿
にほんごがやさしくなります。﻿
Le japonais va devenir facile.

Je suis devenu occupé / Je vais être occupé

忙しくなりました。﻿
いそがしくなりました。﻿
Je suis devenu occupé.

忙しくなります。
いそがしくなります。﻿
Je vais être occupé.  ﻿
"
Conditionnel Relation de cause à effet :  + To ;"と﻿ est une forme conditionnelle spécifique qui exprime une relation automatique cause 

→ effet (comme une loi naturelle). 
Contrairement à ので﻿ (explication), 
と﻿ suppose que « si A se produit, B suit inévitablement »";"Avec adjectifs en い﻿

Froid → nez qui coule
寒いと、鼻水が出る。﻿
さむいと、はなみずがでる。﻿
Quand il fait froid, le nez coule. (Automatique)

Chaud → transpiration
暑いと、汗をかく。﻿
あついと、あせをかく。﻿
Quand il fait chaud, on transpire.

Fatigué → somnolence
疲れると、眠くなる。﻿
つかれると、ねむくなる。﻿
Quand on est fatigué, on a sommeil.

Avec adjectifs en な
﻿
Occupé → stress
忙しいと、イライラする。﻿
いそがしいと、いらいらする。﻿

Quand on est occupé, on s'énerve.
Joli → envie photo
きれいだと、写真を撮りたくなる。﻿
きれいだと、しゃしんをとりたくなる。﻿
Quand c'est joli, on a envie de prendre une photo.
"
Conditionnel :Vérité universelle (Si A [EBA alors B) : sans le i fina +Kereba ;"Vérité universelle : 〜ければ﻿ (Si A, alors B) 

La forme 形容詞 + ければ﻿ exprime une condition hypothétique générale (vérité universelle : 
« si [condition, alors [résultat »). 
Pour adjectifs en い﻿ : retirez le い﻿ final + ければ";"Avec adjectifs en い﻿

Froid → mettre un manteau
寒けれ ば、コートを着ます。﻿
さむければ、こーとをきます。﻿
Si il fait froid, je mets un manteau.

Chaud → ouvrir fenêtre
暑けれ ば、窓を開けます。﻿
あつければ、まどをあけます。﻿
Si il fait chaud, j'ouvre la fenêtre.

Fatigué → se reposer
疲けれ ば、休みます。﻿
つかれれば、やすみます。﻿
Si je suis fatigué, je me repose.

Avec adjectifs en な﻿

Occupé → refuser
忙しけれ ば、断ります。﻿
いそがしければ、ことわります。﻿
Si je suis occupé, je refuse.

Joli → admiration
きれいけれ ば、褒めます。﻿
きれいければ、ほめます。﻿
Si c'est joli, je complimente.
"
Hypothèse (s’il arrivait, au cas où, si…) :  sans le i final + Kattara;"Hypothèse : 〜かったら﻿ (S'il arrivait, au cas où) 

La forme 形容詞 + かったら﻿ exprime une hypothèse réaliste (« si ça arrivait, dans ce cas... »). 
Pour adjectifs en い﻿ : い﻿ → く﻿ + たら";"Avec adjectifs en い﻿

Froid → chauffage
寒かったら、暖房をつけます。﻿
さむかったら、だんぼうをつけます。﻿
S'il fait froid, j'allume le chauffage.

Chaud → clim
暑かったら、エアコンをつけます。﻿
あつかったら、エアコンをつけます。﻿
S'il fait chaud, j'allume la clim.

Fatigué → pause
疲れたら、休憩します。﻿
つかれたら、きゅうけいします。﻿
Si je suis fatigué, je fais une pause.

Avec adjectifs en な﻿

Occupé → annuler
忙しかったら、キャンセルします。﻿
いそがしかったら、きゃんせるします。﻿
Si je suis occupé, j'annule.

Joli → photo
きれいだったら、写真を撮ります。﻿
きれいだったら、しゃしんをとります。﻿
S'il est joli, je prends une photo.
"
Enumèration : + Shi…shi ;"Énumération : 〜し〜し﻿ (et... et…)

La forme 形容詞 + し + adjectif + し﻿ énumère plusieurs qualités/traits (« et... et... »).
Pour adjectifs en い﻿ : forme de base + し﻿. Répéter pour chaque item.
";"Avec adjectifs en い﻿

Joli et calme
きれいだし、静かです。﻿
きれいだし、しずかです。﻿
C'est joli et calme.

Chaud et humide
暑いし、湿気があります。﻿
あついし、しっけがあります。﻿
Il fait chaud et humide.

Fatigué et faim
疲れたし、お腹が空きました。﻿
つかれたし、おなかがすきました。﻿
Je suis fatigué et j'ai faim.

Avec adjectifs en な﻿

Occupé et stressé
忙しいし、ストレスです。﻿
いそがしいし、すとれすです。﻿
Je suis occupé et stressé.

Joli et propre
きれいだし、清潔です。﻿
きれいだし、せいけつです。﻿
C'est joli et propre.
"
"Exprimer la cause + Node / Kara / Tame ni/ Seide / Seika
";"Exprimer la cause : ので / から / ために / せいで / せいか﻿

Ces formes expliquent pourquoi quelque chose arrive, avec des nuances différentes. Avec adjectifs en い

Tableau comparatif des causes 
Forme	Nuance	Exemple avec 暑い﻿ 
ので﻿	Formel/explication	暑いので、水を飲みます。﻿ 
から﻿	Direct/informel	暑いから、水を飲む。﻿ 
ために﻿	But/obligation	暑いために、水を飲まなければ。﻿ 
せいで﻿	Négatif/coupable	暑いせいで、眠い。﻿ せいか﻿	Incertain	暑いせいか、眠い";"ので﻿ (parce que - formel)

疲れたので、休みます。﻿
つかれたので、やすみます。﻿
Parce que je suis fatigué, je me repose.

から﻿ (parce que - direct)
疲れたから、休む。﻿
つかれたから、やすむ。﻿
Parce que fatigué, je me repose. (informel)

ために﻿ (afin de - but)
疲れたために、休まなければなりません。﻿
つかれたために、やすまなければなりません。﻿
À cause de la fatigue, je dois me reposer.

せいで﻿ (à cause de - négatif)
暑いせいで、集中できません。﻿
あついせいで、しゅうちゅうできません。﻿
À cause de la chaleur, je ne peux pas me concentrer.

せいか﻿ (peut-être à cause de - incertain)
疲れたせいか、眠いです。﻿
つかれたせいか、ねむいです。﻿
Peut-être à cause de la fatigue, je suis somnolent.
"
Fournir ou demander une explication + N desu;"Fournir/demander explication : 〜んです / のです﻿

La forme 形容詞 + んです﻿ explique pourquoi (contexte, raison cachée).
Pour adjectifs en い﻿ : forme de base + んです﻿. Interrogatif : 〜んですか？

Forme Nuance Exemple
〜い + ので﻿
Cause simple
疲れたので、休みます。﻿
〜い + んです﻿
Explication/contexte
疲れたんです。﻿ (C'est pour ça que...)

";"Fatigué → raison du comportement
疲れたんです。﻿
つかれたんです。﻿
Je suis fatigué (c'est pour ça que je suis comme ça).

Chaud → raison de l'action
暑いんです。だから、水を飲みます。﻿
あついんです。だから、みずをのみます。﻿
Il fait chaud (c'est pour ça que je bois de l'eau).

Difficile → raison de l'effort
難しいんです。だから、勉強します。﻿
むずかしいんです。だから、べんきょうします。﻿
C'est difficile (c'est pour ça que j'étudie).

Demander une explication
Pourquoi fatigué ?
疲れたんですか？﻿
つかれたんですか？﻿
Vous êtes fatigué ? (Quelle est la raison ?)

Pourquoi chaud ?
暑いんですか？﻿
あついんですか？﻿
Il fait chaud ? (C'est pour ça que... ?)
Avec adjectifs en な﻿

Occupé → explication
忙しいんです。﻿
いそがしいんです。﻿
Je suis occupé (c'est la raison).
"
La supposition : Il se peut, peut-être, il se pourrait : + Kamo shiremasen;"Il se peut, peut-être : 〜いかもしれません / かも知れません﻿ 

La forme 形容詞 + かもしれません﻿ exprime l'incertitude (« peut-être », « il se pourrait »).
Pour adjectifs en い﻿ : forme de base + かもしれません﻿";"Peut-être froid
寒いかもしれません。﻿
さむいかもしれません。﻿
Il se peut qu'il fasse froid.

Peut-être chaud
暑いかもしれません。﻿
あついかもしれません。﻿
Peut-être qu'il fait chaud.

Peut-être fatigué
疲れているかもしれません。﻿
つかれて いますかもしれません。﻿
Il se pourrait que je sois fatigué.

Variante plus familière : かも﻿

Peut-être difficile
難しいかも。﻿
むずかしいかも。﻿
Peut-être que c'est difficile.

Peut-être joli
きれいかも知れません。﻿
きれいかもしれません。﻿
Il se pourrait que ce soit joli.

Avec adjectifs en な﻿

Peut-être occupé
忙しいかもしれません。﻿
いそがしいかもしれません。﻿
Peut-être que je suis occupé.
"
La supposition : Certainement, il devrait (c’est presque sûr) : + Darou (neutre) ou Deshou (poli);"Supposition : 〜いでしょう / だろう﻿ (certainement, il devrait) 
La forme 形容詞 + でしょう / だろう﻿ exprime une supposition forte 
(« certainement », « c'est presque sûr »). 
でしょう﻿ poli/neutre, だろう";"Avec adjectifs en い﻿

Froid → certainement
寒いでしょう。﻿
さむいでしょう。﻿
Il fait certainement froid.

Chaud → supposition
暑いでしょう。﻿
あついでしょう。﻿
Il devrait faire chaud.

Fatigué → presque sûr
疲れているでしょう。﻿
つかれて いますでしょう。﻿
Vous devez être fatigué.

Variante familière

Difficile → certain
難しいだろう。﻿
むずかしいだろう。﻿
C'est sûrement difficile.

Avec adjectifs en な﻿

Occupé → supposition
忙しいでしょう。﻿
いそがしいでしょう。﻿
Vous devez être occupé.

Joli → certain
きれいだろうな。﻿
きれいだろうな。﻿
Ça doit être joli.
"
La supposition :  Il semble que : + You desu;"Il semble que : 〜いようです﻿ / ようです﻿

La forme 形容詞 + ようです﻿ exprime une supposition basée sur des indices indirects (« il semble que », « on dirait »). 
Basée sur ce qu'on a entendu/lu, pas vu directement.

Différence 〜そう﻿ vs 〜ようです﻿ 

〜い + そうです﻿	Avoir l'air (basé sur vue)	忙しそうです。﻿ Il a l'air occupé. (Je le vois) ​
 〜い + ようです﻿	Il semble que (basé sur ouï-dire)	忙しいようです。﻿ Il semble occupé. (On me l'a dit) ​
";"Occupé → basé sur infos
忙しいようです。﻿
いそがしいようです。﻿
Il semble qu'il soit occupé. (D'après ce qu'on m'a dit)

Difficile → supposition
難しいようです。﻿
むずかしいようです。﻿
On dirait que c'est difficile. (D'après les retours)

Chaud → rumeur
暑いようです。﻿
あついようです。﻿
Il semble qu'il fasse chaud. (Les gens le disent)

Avec adjectifs en な﻿

Pratique → semble
便利なようです。﻿
べんりなようです。﻿
Il semble que ce soit pratique.
"
La supposition :  Cela doit (c’est sûr) : + Hazu da (neutre) ou Hazu desu (poli);"Supposition forte : 〜いはずです / はずだ﻿ (cela doit, c'est sûr)

La forme 形容詞 + はずです / はずだ﻿ exprime une certitude logique (« cela doit être », basé sur logique/source officielle).
はずです﻿ poli, はずだ
";"Avec adjectifs en い﻿

Difficile → logique
難しいはずです。﻿
むずかしいはずです。﻿
Cela doit être difficile. (Logiquement)

Chaud → prévision sûre
暑いはずです。﻿
あついはずです。﻿
Il doit faire chaud. (D'après la météo)

Fatigué → évidence
疲れているはずです。﻿
つかれて いますはずです。﻿
Il doit être fatigué. (C'est normal après ça)

Variante neutre
Joli → certain
きれいだはずだ。﻿
きれいだはずだ。﻿
Ça doit être joli.

Avec adjectifs en な﻿
Pratique → sûr
便利なはずです。﻿
べんりなはずです。﻿
Cela doit être pratique.
"
La supposition :  Sembler, avoir l’air : Sans le i final  + Sou desu;"Sembler, avoir l'air : 〜そうです﻿ (visuel)

La forme 形容詞 sans い + そうです﻿ exprime l'apparence visuelle (« avoir l'air », « sembler »). 
Basée sur ce qu'on voit directement
";"Avec adjectifs en い﻿

Délicieux → apparence
美味しそうです。﻿
おいしそうです。﻿
Ça a l'air délicieux. (Je le vois)

Cher → visuel
高そうです。﻿
たかそうです。﻿
Ça a l'air cher.

Fatigué → apparence
疲れそうです。﻿
つかれそうです。﻿
Il a l'air fatigué. (Je le vois sur son visage)

Avec adjectifs en な﻿

Pratique → semble
便利そうです。﻿
べんりそうです。﻿
Ça a l'air pratique.
"
Même si : Sans le i final +  Kute + Mo;"Même si : 〜くても﻿ (sans le i final + くても)

La forme 形容詞 sans い + くても﻿ exprime la concession (« même si », « quoi qu'il arrive »).
Pour adjectifs en い﻿ : い﻿ → く﻿ + ても

〜そうです﻿Avoir l'air 高そうです。﻿ (Ça semble cher) 〜くても﻿
Même si 高くても、買います。﻿ (Même si cher, j'achète)

";"Avec adjectifs en い﻿

Froid → j'y vais
寒くても、行きます。﻿
さむくても、いきます。﻿
Même s'il fait froid, j'y vais.

Chaud → je reste
暑くても、我慢します。﻿
あつくても、がまんします。﻿
Même s'il fait chaud, je supporte.

Fatigué → je continue
疲れくても、勉強します。﻿
つかれくても、べんきょうします。﻿
Même si je suis fatigué, j'étudie.

Avec adjectifs en な﻿

Occupé → je réponds
忙しくても、返事します。﻿
いそがしくても、へんじします。﻿
Même si je suis occupé, je réponds.

Cher → j'achète
高くても、買います。﻿
たかくても、かいます。﻿
Même si c'est cher, j'achète.
"
Plus Plus : [Adjconditionnel + [adj-i + Hodo;"Plus... plus... : 〜ければ﻿ + 〜いほど﻿

La forme 形容詞 conditionnel + 〜いほど﻿ exprime une proportionnalité croissante (« plus [adj1, plus [adj2 »).
Adjectif1 en ければ﻿ + 〜いほど﻿ + conséquence.
";"Plus froid → plus difficile
寒ければ寒いほど、難しいです。﻿
さむければさむいほど、むずかしいです。﻿
Plus il fait froid, plus c'est difficile.

Plus chaud → plus fatigué
暑ければ暑いほど、疲れます。﻿
あつければあついほど、つかれます。﻿
Plus il fait chaud, plus je suis fatigué.

Plus élevé → plus beau
高ければ高いほど、きれいです。﻿
たかければたかいほど、きれいです。﻿
Plus c'est haut, plus c'est beau.

Variante simple (même adjectif)
Plus on étudie → plus facile
勉強すればするほど、簡単になります。﻿
べんきょうすればするほど、かんたんになります。﻿
Plus on étudie, plus c'est facile.

Avec adjectifs en な﻿

Plus occupé → plus stressé
忙しければ忙しいほど、ストレスです。﻿
いそがしければいそがしいほど、すとれすです。﻿
Plus je suis occupé, plus je suis stressé.
"
[Transformation en adverbe Sans le i final + Ku;"Transformation en adverbe :

 〜く﻿ (sans le i final + ku) 
La forme 形容詞 sans い + く﻿ transforme l'adjectif en adverbe pour modifier un verbe (« de manière [adj »";"Rapidement
速く走ります。﻿
はやくはしります。﻿
Je cours rapidement.

Silencieusement
静かに話します。﻿
しずかに はなします。﻿
Je parle silencieusement.

Facilement
簡単に説明します。﻿
かんたんに せつめいします。﻿
J'explique facilement.

Avec adjectifs en な﻿

Convenablement
便利に使います。﻿
べんりにはいます。﻿
J'utilise de manière pratique.

Sérieusement
真面目に勉強します。﻿
まじめに べんきょうします。﻿
J'étudie sérieusement.
"
Transformation en nom Sans le i final  + Sa;"Transformation en nom : 
〜さ (sans le i final + sa) 
La forme 形容詞 sans い + さ 
transforme l'adjectif en nom (« la qualité de [adj », « le degré de [adj »)";"Avec adjectifs en :い

Beauté
:きれいさ
:きれいさ
La beauté / C'est joli (degré).

Difficulté
:むずかしさ
La difficulté.

Hauteur
:高さ
:たかさ
La hauteur.
Utilisation avec particule

Grande beauté
:この絵のきれいさがすごいです。
:このえのきれいさがすごいです。
La beauté de ce tableau est incroyable.

Beaucoup de difficulté
:日本語のむずかしさが大きいです。
:にほんごのむずかしさがおおきいです。
La difficulté du japonais est grande.

Avec adjectifs en :な

Sérieux
:真面目さ
:まじめさ
Le sérieux.

Pratique
:便利さ
La praticité.
"
Trop Sans le i final  + Sugiru;"Trop : 〜すぎる (sans le i final + sugiru) 

La forme 形容詞 sans い + すぎる exprime l'excès négatif (« trop [adj »). 
Adjectif en い → く → すぎる.";"Avec adjectifs en :い

Trop cher
:高すぎる
:たかすぎる
Trop cher.

Trop difficile
:難しすぎる
:むずかしすぎる
Trop difficile.

Trop chaud
:暑すぎる
:あつすぎる
Trop chaud.

Phrases complètes
Trop cher → ne pas acheter
:この服が高すぎます。
:このふくがたかすぎます。
Ces vêtements sont trop chers.

Trop difficile → abandon
:この問題が難しすぎます。
:このもんだいがむずかしすぎます。
Ce problème est trop difficile.

Avec adjectifs en :な

Trop occupé
:忙しすぎる
:いそがしすぎる
Trop occupé.

Trop propre (ironique)
:きれいすぎる
Trop propre (ironique)  :きれいすぎる 
Trop propre.
"
