Type;Signification;katakana;romanji;detail;exemple
Giseigo;Applaudissement;パチパチ;Pachi-pachi;"Représente le bruit de petits claquements répétés.

Applaudissements : Le son des mains qui frappent.
Crépitement/Claquement : Le bruit d'un feu, de braises, ou de petits objets qui éclatent.
Claquement (appareil) : Le bruit d'un appareil photo (déclencheur) ou d'un interrupteur. 
Clignotement (yeux) : L'action de cligner des yeux rapidement et de manière répétée. 
";"観客はパチパチと手を叩いた。
Le public a applaudi (en faisant un bruit de claquements).
彼女はステージでパチパチパチと拍手した。
Elle a applaudi bruyamment sur la scène. "
Giseigo;Atchoum (éternuement);ハクション、 クシャン;Hakushon, Kushan;"Pour représenter le bruit d'un... éternuement

ハクション (hakushon) : C'est la façon la plus courante et la plus classique de représenter le bruit d'un éternuement en japonais, souvent similaire au « Atchoum ! » français. 
クシャン (kushan) : C'est une autre variation, parfois utilisée pour un éternuement un peu plus petit ou rapide.";"彼は急に「ハクション！」と大きなくしゃみをした。
Il a soudain fait un grand « Atchoum ! » (éternuement)."
Giseigo;Baahaha (éléphant);パオー;Paō; Pour décrire le barrissement d'un éléphant.;"象がパオーと大きな声で鳴いた。
L'éléphant a barré d'une voix forte, faisant « Pa-ō ! »"
Giseigo;Bêê-bêê (caprin, ovin);メーメー;Mē-mē;"Le bêlement du mouton ou de la chèvre : C'est le sens le plus courant, l'équivalent du « Bêê » français.  
L'expression de l'indifférence : Moins courant, il peut être utilisé pour exprimer un manque d'intérêt ou d'enthousiasme, à la manière du « Meh » en anglais.";"羊がメーメーと鳴いている。
Le mouton bêle (fait « bêê-bêê »).

"
Giseigo;Bzzz-bzzz (abeille, guêpe, etc.);ブンブン;Bun-bun;"Décrit un son de vibration ou un mouvement rapide et continu.

Le bourdonnement/vrombissement : Le son d'insectes (abeilles, mouches), de moteurs, ou d'objets en rotation rapide. C'est l'équivalent du « Bzzz » ou « Vroum-vroum » français.
L'action de secouer/faire tournoyer : Le mouvement énergique, souvent en faisant un son d'air coupé (comme agiter une épée ou faire tourner une corde).";"蚊が耳の周りでブンブン飛んでいる。
Un moustique vole en bourdonnant (« bzzz ») autour de mon oreille.

彼は紐をブンブンと振り回した。 
Il a fait tournoyer la corde énergiquement (en faisant « vvvf »). "
Giseigo;Chute d'eau, goutte de pluie;ポツポツ;Potsu-potsu;"Liées à l'idée de choses distinctes et espacées.

Chutes/Écoulement espacé : Le bruit de l'eau qui tombe goutte par goutte, ou le début d'une pluie légère et espacée.
Petites taches/Points : L'apparence de boutons, de taches ou de marques dispersées sur une surface.
Action par intermittence/lentement : Une action qui commence lentement ou se produit sporadiquement.

";"雨がポツポツと降り始めた。
La pluie a commencé à tomber goutte par goutte (légèrement).

顔にポツポツとニキビができた。 
Des boutons (taches) sont apparus sur son visage.
 
彼は出来事をポツポツと話し始めた。 
Il a commencé à raconter les événements lentement, par intermittence. "
Giseigo;Cocorico (coq);コケコッコ;Kokekokko;Représente le chant du coq.;"朝、鶏が「コケコッコ！」と鳴いて目を覚ました。
Le matin, j'ai été réveillé par le coq qui chantait « Cocorico ! ».

"
Giseigo;Cot-cot-codec (poule);コッコッコ;Kokkokko;Représente le gloussement de la poule ou le cri d'un jeune coq ou d'un poussin.;"庭でひよこたちが「コッコッコ」と鳴きながら餌を啄んでいた。
Dans la cour, les poussins picoraient en gloussant (Â« cot-cot-cot Â») 
"
Giseigo;Hiii-hiii (cheval, zèbre);ヒーン;Hīn;"Exprime principalement la tristesse ou le bruit d'un cheval.
Pleurs/Gémissements : C'est le son d'un gémissement plaintif ou d'un pleur silencieux et triste. Il est souvent associé à un sentiment de détresse ou de grande tristesse, comme un petit enfant qui sanglote.  
Hennissement : C'est aussi la manière standard de représenter le hennissement du cheval (l'équivalent de ""Hiii"" ou ""Hii-hinn"" en français).";"彼は悔しくて「ヒーン」と泣き声を漏らした。
Il était tellement frustré qu'il laissa échapper un gémissement plaintif (« hīīīn »).

馬が空に向かって「ヒーン」と鳴いた。
Le cheval a henni (« Hii-hinn ») vers le ciel.
"
Giseigo;Miaou-miaou (félidé);ニャニャ、 ニャンニャン;Nya-nya, Nyan-nyan;"Pour le miaulement du chat.
ニャンニャン (nyan-nyan) : C'est la forme la plus courante pour le miaulement continu. 
ニャニャ (nya-nya) : C'est une variation qui peut parfois désigner un miaulement plus rapide ou une série de petits cris.
Chat : Utilisé par les jeunes enfants pour désigner un chat.  
Argot : Terme d'argot désignant l'acte sexuel.";"子猫がご飯を求めて「ニャンニャン」と鳴いている。
Le chaton miaule (« miaou-miaou ») pour réclamer à manger. "
Giseigo;Ouaf-ouaf (chien);ワンワン;Wan-wan;"L'aboiement du chien : C'est la façon japonaise de représenter le bruit que fait un chien, l'équivalent de notre « Ouaf-ouaf » ou « Wouf-wouf ».
Pleurs sonores : Il peut aussi décrire le bruit de quelqu'un qui pleure fort et bruyamment, souvent un enfant, l'équivalent de ""Ouah-ouah"" (comme un sanglot).
Nom pour un chien : Dans le langage enfantin, ワンワン désigne le chien lui-même.  ";"隣の犬が「ワンワン！」と吠えている。
Le chien du voisin aboie en faisant « Ouaf-ouaf ! ».
子どもは迷子になり、ワンワン泣き出した。
L'enfant s'est perdu et s'est mis à pleurer bruyamment (« ouah-ouah »).
ワンワンがボールを追いかけている。
Le chien (le « ouaf-ouaf ») court après la balle."
Giseigo;Pluie forte;ザーザー;Zā-zā;"Indique une intensité et une durée prolongée
Pluie battante : C'est le bruit de la pluie forte, torrentielle, ou du déluge. C'est l'équivalent de notre ""Il pleut à seaux"" ou ""il pleut très fort"".  
Bruit de l'eau qui coule fortement : Peut aussi décrire l'eau qui se déverse en grande quantité (comme une cascade ou un robinet très ouvert).  
Bruit statique (Radio/TV) : Moins courant, il peut désigner le bruit de parasite ou de statique à la radio ou à la télévision.";"外は雨がザーザー降っているから、傘を持って行ったほうがいい。
Il pleut à verse (« zā-zā ») dehors, il vaut mieux prendre un parapluie. 

ラジオは壊れて、ザーザーという雑音しか聞こえない。
La radio est cassée, on n'entend qu'un bruit parasite (« zā-zā »). 

"
Giseigo;Coa-coa (crapeau, grenouille);ケロケロ;Kero-kero;Représente le coassement de la grenouille.;"夜になると、田んぼから蛙が「ケロケロ」と鳴く声が聞こえる。
Quand la nuit tombe, on entend les grenouilles coasser (« coa-coa ») depuis les rizières.
"
Giseigo;Crôa-crôa (corbeau);カーカー;Kā-kā;Représente le croassement du corbeau.  ;"電柱の上で、カラスが「カーカー」と鳴いていた。
Un corbeau croassait (« crôa-crôa ») au-dessus du poteau électrique.
"
Giseigo;Coin-coin (canard);ガーガー;Gā-gā;"Le cancanement du canard : C'est le bruit que font les canards, l'équivalent du « Coin-coin » français.  
Un bruit agaçant/fort : Il peut parfois décrire un bruit fort, agaçant ou criard (par exemple, le son d'un klaxon ou un cri discordant de certains oiseaux comme le corbeau, bien que カーカー soit plus standard pour le corbeau).";"アヒルが池で「ガーガー」と鳴きながら泳いでいる。
Le canard nage dans l'étang en faisant « coin-coin » (cancanant).

彼はうるさく「ガーガー」と大声で話していた。
Il parlait d'une voix forte et agaçante (« crrr-crrr »).
"
Giseigo;Hi-han (âne);グーヒー;Gūhī;Pour représenter le braiment de l'âne.;"遠くからロバが「グーヒー！」と鳴いているのが聞こえた。
On entendait l'âne braire (« Hi-han ! ») de loin."
Giseigo;Hou-hou (hibou);ホーホー;Hō-hō;"Le cri de l'hibou/chouette : C'est le son standard pour le cri d'un hibou ou d'une chouette, l'équivalent du « Hou-hou » français.  
Expression d'étonnement ou de compréhension : Similaire à un « Oh ! » ou « Ah, je vois » français, souvent dit avec une intonation longue pour exprimer un certain étonnement ou une réalisation. (Dans ce cas, il est souvent écrit en Hiragana : ほほう (hohō)).";
Giseigo;Groin-groin (porcin);ブーブー;Bū-bū;"Décrivant plusieurs sons et états.
Grognement du cochon : Le bruit que fait le cochon, l'équivalent du « Groin-groin » français.  
Klaxon/Sirène : Le son d'un klaxon de voiture, d'un sifflet ou d'un avertisseur.  
Plaintes/Grommellements : L'action de grogner ou de se plaindre de manière agacée, comme un « bougonnement ». 
Huées/Bruit de désapprobation : Le bruit « Boo » ou « Bouh » d'une foule en colère ou désapprobatrice (un « booing »).";"豚は餌を食べて「ブーブー」と鳴いた。
J'ai klaxonné (« pouet-pouet ») la voiture lente.

彼は残業についてブーブー文句を言っている。 
l se plaint (« bougonne ») sans cesse des heures supplémentaires."
Giseigo;Cui-cui (oiseau);ピーピー;Pī-pī;"Décrit plusieurs sons aigus et perçants, ou un état physique.

Sons aigus/sifflements : Le son d'un sifflet, d'une alarme aiguë, ou d'un sifflement d'oiseau.  
Petits cris d'oiseaux : Le gazouillis ou le piaulement de petits oiseaux, de poussins (souvent la forme ピヨピヨ (piyo-piyo) est aussi utilisée pour les poussins).  
Bruit d'un ventre affamé : De manière idiomatique, il peut désigner le bruit d'un ventre qui gargouille (même si ペコペコ (peko-peko) est plus courant pour l'état d'avoir faim).";"やかんが沸騰して、「ピーピー」と鳴り始めた。
La bouilloire a bouilli et a commencé à siffler (« piiii »).

小鳥が餌を求めて「ピーピー」と鳴いている。
Le petit oiseau crie (« cui-cui ») pour réclamer de la nourriture.

お腹がピーピーだよ！	
Mon ventre fait « pī-pī » ! (J'ai très faim !) "
Giseigo;Pof (écrasement);ドスン;Dosun;"Décrit le bruit d'un objet lourd qui tombe ou qui frappe quelque chose avec une force sourde.

Chute lourde : Le bruit d'une personne qui tombe lourdement, d'un sac qui s'écrase sur le sol, ou d'un meuble qui s'affaisse.  
Coup sourd : Le bruit d'un objet qui frappe une surface sans rebondir.";"彼が椅子にドスンと座ると、床が揺れた。
Quand il s'est laissé tomber lourdement (« vlan ») sur la chaise, le sol a tremblé.

重い箱が床にドスンと落ちた
La lourde boîte est tombée par terre en faisant « boum »/un bruit sourd."
Giseigo;Hooou (loup);ウオォォン;Uoōn;"Exprime un hurlement ou un vrombissement profond et prolongé.  

Hurlement (Animal) : Le cri d'un loup, d'un chien (hurlement), ou d'un autre animal qui hurle à la lune ou par détresse. C'est l'équivalent de « Hououuuu » ou « Aouuuuu ».  
Bruit de moteur/Sirène : Le vrombissement puissant et soutenu d'un moteur, d'une alarme, ou d'une sirène (comme celle des pompiers).  
Lamentation : Il peut parfois être utilisé pour un gémissement humain très fort et plaintif.";"満月の夜、狼が「ウオォォン」と遠吠えした。
La nuit de pleine lune, le loup a hurlé (« Aouuuuu »).

救急車のサイレンが「ウオォォン」と近づいてきた。
La sirène de l'ambulance est arrivée en faisant « Ouuuooouuu »."
Giseigo;Meuh (bovin);モー;Mō;"Mugissement de la vache : Le bruit que fait une vache, l'équivalent du « Meuh » français.  
Expression d'agacement/plaintes : Un grogne-ment ou une plainte prolongée pour exprimer l'agacement, la frustration, ou le fait d'en avoir assez. C'est l'équivalent de « Ughhh », « Ça suffit ! » ou « Oh, non ! ».  
Adverbe (もう - mō) : Bien que non lié directement à l'onomatopée, le mot もう (mō) est un adverbe extrêmement courant signifiant « déjà », « plus » (dans un sens négatif), ou « encore » (souvent dans les questions).";"牧場で牛が「モー」と鳴いた。
La vache a fait « Meuh » dans le pâturage.

「モー、また宿題を忘れたの？！」
« Ughhh, tu as encore oublié tes devoirs ?! »  

もう食べられません。
Je ne peux plus manger. 

もう電車は出ました。
Le train est déjà parti.  


"
Giseigo;Rouar (lion, tigre, etc.);ガオー;Gaō;Décrit un rugissement puissant et menaçant.;"ライオンが獲物に向かって「ガオー！」と吠えた。
Le lion a rugi (« Raaawwrr ! ») en direction de sa proie.

彼は鬼のマスクをかぶり、「ガオー！」と言って妹を驚かせた。
Il a mis un masque de démon et a dit « Raaawwrr ! » pour faire peur à sa petite sœur."
Giseigo;Rou-rou (pigeon, colombe, tourterelle);ポッポポッポ;Poppo-poppo;"Roucoulement du pigeon : C'est le bruit que font les pigeons, l'équivalent du « Rou-rou » ou « Crou-crou » français.  
Bruit de train à vapeur : Le bruit « pouf-pouf » ou « tchou-tchou » d'une ancienne locomotive à vapeur.";"公園でハトが「ポッポポッポ」と鳴いていた。
Le pigeon roucoulait (« rou-rou ») dans le parc.

機関車が「ポッポポッポ」と煙を吐きながら走る
La locomotive avance en faisant « tchou-tchou » et en crachant de la fumée."
Giseigo;Piou-piou (poussin);ピヨピヨ;Piyo-piyo;Représente le piaulement des poussins ou des petits oiseaux.;"ひよこが「ピヨピヨ」と可愛らしく鳴いている。
Le poussin piaule (« piou-piou ») de façon adorable."
Giseigo;Prout (flatulence);ブー、 プー、 プゥー;Bū, Pū, Puū;"décrivent des sons similaires de basse fréquence et d'air expulsé, mais avec des nuances d'intensité ou de source.
";"誰かが「プー」とラッパを鳴らした。
Quelqu'un a fait « Pouet » à la trompette."
Giseigo;Ssssss (serpent);シュルシュル;Shuru-shuru;"Décrit un bruit de glissement, de frôlement ou de sifflement léger et continu.

ouvement glissant/ramper : Le son produit par quelque chose qui glisse, rampe ou serpente rapidement (par exemple, un serpent ou une corde qui s'enroule/se déroule). C'est l'équivalent de « Fffft » ou « Vzzzt » (glissement rapide).  
Frôlement/Bruissement : Le bruit de bruissement produit par des objets légers ou souples, comme de la soie, du papier, ou des feuilles qui se frôlent.  
Sifflement/Vrombissement : Un bruit de sifflement aigu ou un vrombissement rapide (comme une petite fusée ou un projectile).
";"蛇が草むらを「シュルシュル」と音を立てて進んだ。
Le serpent a avancé dans les herbes en faisant un bruit de glissement (« Vzzzt »). 

ロープが滑車から「シュルシュル」と降りていった。
La corde est descendue de la poulie en faisant un bruit de frottement/glissement."
Giseigo;Hii Hii (singe);ウキウキ;Uki-uki;"Décrivant un état émotionnel.

Joyeux, gai, et très excité (comme si l'on flottait).  
De bonne humeur (être « aux anges » ou « sur un petit nuage »). 
Léger et plein d'entrain.";"彼女はデートを控えて「ウキウキ」している。
Elle est toute joyeuse / surexcitée à l'idée d'avoir un rendez-vous.

チーム全体が優勝してウキウキしていた。
Toute l'équipe était folle de joie après avoir remporté le championnat."
Giseigo;Wouif (renard);コンコン;Kon-kon;"Signification : Le bruit de quelqu'un qui frappe doucement à une porte ou qui tapote légèrement.Équivalent Français : « Toc-toc », « Tap-tap ».

Signification : Le bruit d'une toux sèche ou d'un raclement de gorge léger.  Équivalent Français : « Hum-hum », « Tousse-tousse ».

Signification : La façon dont la neige tombe abondamment et sans interruption.  Équivalent Français : « Tomber à gros flocons », « tomber sans discontinuer ».";"ドアを「コンコン」とノックした。
J'ai frappé à la porte (« toc-toc »).

狐が「コンコン」と鳴いている
Le renard crie (« yip-yip »).

雪が朝から「コンコン」と降っている。
La neige tombe abondamment depuis ce matin."
Giseigo;Couic (rat, souris);チュウ;Chuu;"Bruit de baiser Signification : Le bruit d'un baiser ou d'un bisou affectueux. On trouve souvent la forme ちゅっ (chu') pour un baiser court.  Équivalent Français : « Mwah », « Smooch ».
Bruit de souris ou d'oiseau Signification : Le couinement d'une souris ou le gazouillis/piaulement d'un petit oiseau.  Équivalent Français : « Couic-couic » (souris), « Cui-cui » (oiseau).
Bruit de succion Signification : Le son fait en buvant ou en aspirant un liquide (souvent avec une paille).  Équivalent Français : « Slurp », « Glouglou » (aspiration).

";"彼が頬に「チュウ」とキスをした。
Il a fait un bisou (« Mwah ») sur sa joue.

ネズミが壁の裏で「チュウチュウ」と鳴いている。
La souris couine (« couic-couic ») derrière le mur.

"
Giseigo;Tsing (épée (croisement des fers));ザァァッ;Zaātsu;"Exprime un bruit de frottement, de glissement, ou d'écoulement intense.

Pluie ou eau (Son continu, mais bref) : Le son d'une pluie torrentielle qui commence ou s'arrête brusquement, ou le bruit d'une vague s'écrasant.  
Mouvement rapide de foule : Le bruit d'une foule qui se précipite ou se disperse subitement.  
Bruit de frottement/Glissement : Un bruit de frottement ou de glissement rapide sur une surface, souvent associé à un mouvement brusque.";"窓の外で雨が「ザァァッ」と降り始めた。
Dehors, la pluie s'est mise à tomber subitement et fort (« Pschiiit »).

車が急ブレーキをかけて、「ザァァッ」と砂利の上を滑った。
La voiture a freiné brusquement et a dérapé (« Vzzzt ») sur le gravier. 

"
Giseigo;Burp (éructation);ゲップ;Geppu;désigner l'action ou le bruit d'un rot ou d'une éructation (l'air qui s'échappe de l'estomac par la bouche).  Équivalent Français : « Rot », « Faire un rot ».;"食事の後で、大きなゲップが出た。
J'ai fait un gros rot après le repas.

赤ちゃんにゲップをさせる。
Faire faire son rot au bébé.  Exporter vers Sheets       "
Giseigo;Pin-pon (sirène de pompiers);ビーボビーボ;Bībo-bībo;"Imite un son de sirène ou d'alarme répétitive.  

Pompiers  Ambulances (bien que ウーウー (ū-ū) ou ピーポーピーポー (pīpō-pīpō) soient également très courants).";"消防車が「ビーボビーボ」とサイレンを鳴らしながら走ってきた。
Le camion de pompiers est arrivé en faisant « Pin-pon » avec sa sirène."
Giseigo;Smack (baiser);チュー;Chū;"Bruit de baiser (Le plus courant) Dans les mangas et la communication informelle, チュー (ou la forme courte チュッ chu') est l'onomatopée du baiser ou du bisou.  Équivalent Français : « Mwah », « Smooch ».  Forme verbale : チューする (chū suru) signifie ""embrasser"" ou ""faire un bisou"" (souvent enfantin ou affectueux). 
Cri d'animal チュー peut également être utilisé pour le couinement d'une souris ou le piaulement/gazouillis d'un petit oiseau (bien que ピヨピヨ soit plus courant pour les poussins).  Équivalent Français : « Couic-couic » (souris), « Cui-cui » (oiseau). 
Bruit de succion Le son fait en buvant un liquide ou en sautant à travers une paille, ou d'autres actions de succion légères.  Équivalent Français : « Slurp » (succer).";"「ありがとう」と言って、頬にチューした。
Elle a dit « Merci » et lui a fait un bisou sur la joue.

ネズミが「チュウチュウ」と壁の中で鳴いた。
La souris a couiné (« couic-couic ») à l'intérieur du mur."
Giseigo;Dring dring (téléphone);リンリン、プルルル;Rin-rin, Purururu;"Sonnerie de cloche : Le son d'une cloche, d'une clochette de vélo, ou d'un grelot.  Équivalent Français : « Ding-dong », « Drelin-drelin » (léger).  
Chant d'insecte : Le chant du grillon ou de l'haltique (suzumushi), très apprécié au Japon.  Équivalent Français : « Cri-cri » (grillon).";"玄関のチャイムが「リンリン」と鳴った。
La sonnette de l'entrée a fait « drelin-drelin » (a sonné).

ポケットの電話が「プルルル」と鳴り出した。
Le téléphone dans ma poche a commencé à sonner/vibrer (« Ring-ring »)."
Giseigo;Tagadam (train roulant sur les rails);カタンコトン、 ガタンゴトン;Katan-koton, Gatan-goton;"Le son que font les roues lorsqu'elles passent sur les joints des rails. 

カタンコトン est plus doux et évoque une ambiance nostalgique.  
ガタンゴトン est plus puissant et est le terme le plus courant pour le vacarme du train.";"電車が線路の上を「ガタンゴトン」と音を立てて走る。
Le train roule sur les rails en faisant « clac-clac » (« tac-tac »)."
Giseigo;Craquement de la neige sous les pieds;サクサク;Saku-saku;"Principalement utilisée pour décrire une texture agréable ou une action fluide et efficace.

Signification : Croustillant, craquant, floconneux (comme une pâte feuilletée).  
Utilisé pour :  Les aliments frits (Tempura, croquettes, crevettes frites)  
Les biscuits et les pâtisseries feuilletées  
Le son de la neige ou du sable sous les pieds (un craquement sec)

サクサク (saku-saku)	Légèrement croustillant, friable.	Tempura, biscuits, pâte feuilletée. 
パリパリ (pari-pari)	Très croustillant et fin.	Chips, nori (algue séchée), peau de poulet. 
カリカリ (kari-kari)	Dur et craquant (son plus fort).	Croûte de pain grillé, bacon croustillant, frites. 
シャキシャキ (shaki-shaki)	Croustillant et juteux (pour les légumes).	Laitue, pommes, chou.";"このコロッケは衣がサクサクしている。
La panure de cette croquette est croustillante (et friable).

仕事がサクサク進む。
Le travail avance rapidement et efficacement (sans difficulté)."
Giseigo;Hum !;ン！;N!;" ン (n), souvent écrit en hiragana ん ou en katakana ン, est la seule consonne isolée en japonais et, en tant qu'onomatopée, elle est rarement utilisée seule, mais elle est très importante pour les effets sonores dans le manga et le langage.

Signification : Le son d'une cloche ou d'un gong qui résonne, ou un son aigu qui s'éteint.  
Exemples courants :  
キーン (kīn) : Un son aigu et résonnant (comme un ultrason ou un tinnitus).  
ゴーン (gōn) : Le son d'une grosse cloche ou d'un gong qui résonne.

Lorsqu'il est utilisé seul, avec un point d'exclamation, ン！ peut suggérer une action brève et interne ou un son discret :

Aspiration/Déglutition discrète : Un petit reniflement ou un son de déglutition étouffé (souvent plus subtil que gokun).  
Petite surprise/Exclamation : Un son de surprise ou de réalisation soudaine, comme un petit « Hmmm » ou « Hein ? » rapide.";"「今日の会議、出席する？」 「ン！」
「N!」	« Tu assistes à la réunion d'aujourd'hui ? » « Mh ! »"
